reference_film,test_film,version_number,feature_1_value,feature_1_description,feature_2_value,feature_2_description,feature_3_value,feature_3_description,feature_4_value,feature_4_description,similarity_overall
raiders-of-the-lost-ark,titanic,0,30,This feature evaluates the core beliefs and values that drive the main characters and the overarching themes of the films.,40,This feature assesses the motivations driving the main characters' actions throughout the story.,50,This feature examines the interactions and relationships between characters and their social environments.,25,This feature looks at the overall structure and progression of the narrative.,36
raiders-of-the-lost-ark,titanic,1,30,Differences in core philosophical and ideological foundations.,40,Varied character motivations aligned with the themes of romance versus adventure.,35,Interaction patterns among characters within different societal structures.,50,Emotional and transformational journeys of characters.,35
raiders-of-the-lost-ark,titanic,2,40,Beliefs,50,Motivations,30,Social Dynamics,60,Arc,45
raiders-of-the-lost-ark,titanic,3,40,Beliefs and Values,30,Motivations,25,Social Dynamics,45,Story Arc,35
raiders-of-the-lost-ark,titanic,4,20,Fundamental convictions and ideologies of the main characters.,35,The driving forces behind characters' actions and decisions.,40,Interactions and relationships between characters.,25,The overall structure and progression of the story.,30
raiders-of-the-lost-ark,titanic,5,40,Beliefs,55,Motivations,50,Social Dynamics,35,Narrative Arc,45
raiders-of-the-lost-ark,titanic,6,30,The core beliefs and worldviews of the characters.,40,The driving forces behind the characters' actions and decisions.,50,The interactions and relationships between characters.,35,The structure and progression of the story.,38
raiders-of-the-lost-ark,titanic,7,40,Core values and ideologies held by the main characters.,50,The driving forces behind the characters' actions.,55,The relationships and interactions between characters.,45,The overall structure and progression of the story.,48
raiders-of-the-lost-ark,titanic,8,30,Character Beliefs,40,Character Motivations,25,Social Dynamics,50,Character Arcs,36
raiders-of-the-lost-ark,titanic,9,30,The underlying convictions and values held by the main characters.,40,The driving forces behind the characters' actions.,50,The relationships and interactions between characters within their social contexts.,35,The narrative progression and character development throughout the story.,38
